core	model	corpus	opcode	mnemonic	addressing_mode	opcode_group_65c02	cases_run	instruction_status	instruction_failed_opcode	instruction_failed_cases	cycle_count_status	cycle_count_failed_opcode	cycle_count_failed_cases	bus_trace_status	bus_trace_failed_opcode	bus_trace_failed_cases
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x00	BRK	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x01	ORA	(zero page,X)	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x02	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x03	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x04	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x05	ORA	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x06	ASL	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x07	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x08	PHP	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x09	ORA	immediate	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x0A	ASL	accumulator	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x0B	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x0C	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x0D	ORA	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x0E	ASL	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x0F	NOP	illegal	nop	10000	failed	1	10000	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x10	BPL	relative	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x11	ORA	(zero page),Y	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x12	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x13	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x14	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x15	ORA	zero page,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x16	ASL	zero page,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x17	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x18	CLC	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x19	ORA	absolute,Y	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x1A	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x1B	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x1C	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x1D	ORA	absolute,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x1E	ASL	absolute,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x1F	NOP	illegal	nop	10000	failed	1	5006	passed	0	0	failed	1	4994
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x20	JSR	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x21	AND	(zero page,X)	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x22	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x23	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x24	BIT	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
