suite	core	model	test	status	detail
group2	fceux	NES/Ricoh 2A03	IRQ held masked then CLI accepts	pass	
group2	fceux	NES/Ricoh 2A03	SEI masks held IRQ	pass	
group2	fceux	NES/Ricoh 2A03	RTI I variants with held IRQ	pass	
group2	fceux	NES/Ricoh 2A03	second NMI assertion after RTI	pass	
group2	fceux	NES/Ricoh 2A03	NMI priority over IRQ	pass	
group2	fceux	NES/Ricoh 2A03	NMI then held IRQ after RTI	pass	
group2	fceux	NES/Ricoh 2A03	NMI inside IRQ handler	pass	
group2	fceux	NES/Ricoh 2A03	held IRQ does not enter inside NMI	pass	
group2	fceux	NES/Ricoh 2A03	modified vectors are used	pass	
group2	fceux	NES/Ricoh 2A03	pushed status pattern variants	pass	
group2	fceux	NES/Ricoh 2A03	held NMI assertion generates single NMI	pass	
group2	fceux	NES/Ricoh 2A03	held IRQ retriggers after RTI when I clear	pass	
group2	fceux	NES/Ricoh 2A03	CLI pending IRQ observable delay	pass	
