suite	core	model	test	status	detail
group1	floooh/chips	nmos	reset vector routing	pass	
group1	floooh/chips	nmos	I flag after reset	pass	
group1	floooh/chips	nmos	IRQ masked after reset	pass	
group1	floooh/chips	nmos	NMI accepted after reset	pass	
group1	floooh/chips	nmos	IRQ masked when I=1	pass	
group1	floooh/chips	nmos	IRQ accepted when I=0	pass	
group1	floooh/chips	nmos	IRQ deasserted before unmask	pass	
group1	floooh/chips	nmos	NMI ignores I	pass	
group1	floooh/chips	nmos	NMI/IRQ RTI resumes	pass	
group1	floooh/chips	nmos	BRK vector and RTI	pass	
group1	floooh/chips	nmos	pushed B bits and live I	pass	
group1	floooh/chips	nmos	PLP changes IRQ mask	pass	
group1	floooh/chips	nmos	RTI restores PC and P	pass	
group1	floooh/chips	nmos	distinct vectors and endian	pass	
group1	floooh/chips	nmos	non-default SP interrupt stack	pass	
group1	floooh/chips	nmos	PHP vs interrupt B flag	pass	
group1	floooh/chips	nmos	decimal flag preserved	pass	
