suite	core	model	test	status	detail
group2	gianlucag_mos6502	NMOS	IRQ held masked then CLI accepts	pass	
group2	gianlucag_mos6502	NMOS	SEI masks held IRQ	pass	
group2	gianlucag_mos6502	NMOS	RTI I variants with held IRQ	pass	
group2	gianlucag_mos6502	NMOS	second NMI assertion after RTI	pass	
group2	gianlucag_mos6502	NMOS	NMI priority over IRQ	pass	
group2	gianlucag_mos6502	NMOS	NMI then held IRQ after RTI	pass	
group2	gianlucag_mos6502	NMOS	NMI inside IRQ handler	pass	
group2	gianlucag_mos6502	NMOS	held IRQ does not enter inside NMI	pass	
group2	gianlucag_mos6502	NMOS	modified vectors are used	pass	
group2	gianlucag_mos6502	NMOS	pushed status pattern variants	pass	
group2	gianlucag_mos6502	NMOS	held NMI assertion generates single NMI	pass	
group2	gianlucag_mos6502	NMOS	held IRQ retriggers after RTI when I clear	pass	
group2	gianlucag_mos6502	NMOS	CLI pending IRQ observable delay	pass	
