suite	core	model	test	status	detail
group2	mame	nmos	IRQ held masked then CLI accepts	pass	
group2	mame	nmos	SEI masks held IRQ	pass	
group2	mame	nmos	RTI I variants with held IRQ	pass	
group2	mame	nmos	second NMI assertion after RTI	pass	
group2	mame	nmos	NMI priority over IRQ	pass	
group2	mame	nmos	NMI then held IRQ after RTI	pass	
group2	mame	nmos	NMI inside IRQ handler	pass	
group2	mame	nmos	held IRQ does not enter inside NMI	pass	
group2	mame	nmos	modified vectors are used	pass	
group2	mame	nmos	pushed status pattern variants	pass	
group2	mame	nmos	held NMI assertion generates single NMI	pass	
group2	mame	nmos	held IRQ retriggers after RTI when I clear	pass	
group2	mame	nmos	CLI pending IRQ observable delay	pass	
