core	model	suite	mode	opcode	mnemonic	addressing_mode	legal_nmos	testcases	scenarios	failures	nmi_scenarios	nmi_failures	irq_scenarios	irq_failures	status
o2	nmos	nmi_irq_pulse_sweep	full	0x00	BRK	implied	yes	1	108	51	54	51	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x01	ORA	(zero page,X)	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x02	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x03	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x04	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x05	ORA	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x06	ASL	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x07	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x08	PHP	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x09	ORA	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x0A	ASL	accumulator	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x0B	???	illegal	no	1	0	0	0	0	0	0	skipped_unstable
o2	nmos	nmi_irq_pulse_sweep	full	0x0C	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x0D	ORA	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x0E	ASL	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x0F	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x10	BPL	relative	yes	3	324	162	162	162	162	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x11	ORA	(zero page),Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x12	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x13	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x14	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x15	ORA	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x16	ASL	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x17	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x18	CLC	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x19	ORA	absolute,Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x1A	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x1B	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x1C	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x1D	ORA	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x1E	ASL	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x1F	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x20	JSR	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x21	AND	(zero page,X)	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x22	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x23	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x24	BIT	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x25	AND	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x26	ROL	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x27	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x28	PLP	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x29	AND	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x2A	ROL	accumulator	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x2B	???	illegal	no	1	0	0	0	0	0	0	skipped_unstable
o2	nmos	nmi_irq_pulse_sweep	full	0x2C	BIT	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x2D	AND	absolute	yes	1	108	54	54	54	54	0	failed
