core	model	corpus	opcode	mnemonic	addressing_mode	legal_nmos	cases_run	instruction_status	instruction_failed_opcode	instruction_failed_cases	cycle_count_status	cycle_count_failed_opcode	cycle_count_failed_cases	bus_trace_status	bus_trace_failed_opcode	bus_trace_failed_cases
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x00	BRK	implied	yes	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x01	ORA	(zero page,X)	yes	10000	failed	1	39	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x02	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x03	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x04	???	illegal	no	10000	failed	1	9539	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x05	ORA	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x06	ASL	zero page	yes	10000	failed	1	48	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x07	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x08	PHP	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x09	ORA	immediate	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0A	ASL	accumulator	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0B	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0C	???	illegal	no	10000	failed	1	9509	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0D	ORA	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0E	ASL	absolute	yes	10000	failed	1	44	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x10	BPL	relative	yes	10000	passed	0	0	failed	1	1280	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x11	ORA	(zero page),Y	yes	10000	failed	1	33	failed	1	5053	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x12	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x13	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x14	???	illegal	no	10000	failed	1	9494	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x15	ORA	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x16	ASL	zero page,X	yes	10000	failed	1	52	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x17	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x18	CLC	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x19	ORA	absolute,Y	yes	10000	passed	0	0	failed	1	4942	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x1A	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x1B	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x1C	???	illegal	no	10000	failed	1	5020	failed	1	4953	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x1D	ORA	absolute,X	yes	10000	passed	0	0	failed	1	5069	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x1E	ASL	absolute,X	yes	10000	failed	1	34	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x1F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x20	JSR	absolute	yes	10000	failed	1	1	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x21	AND	(zero page,X)	yes	10000	failed	1	35	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x22	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x23	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x24	BIT	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x25	AND	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x26	ROL	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x27	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x28	PLP	implied	yes	10000	failed	1	7554	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x29	AND	immediate	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x2A	ROL	accumulator	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
